"filename", "language", "JSON", "JSON with Comments", "YAML", "Ignore", "JavaScript", "TypeScript", "Docker", "PostCSS", "TypeScript JSX", "WebAssembly Text Format", "comment", "blank", "total"
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/api/signup/campaign/route.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 7, 34
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/api/signup/voter/route.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/api/users/route.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 6, 25
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/api/voter/voted-campaigns/route.ts", "TypeScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 5, 9, 64
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/api/votes/[id]/route.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/[id]/manage/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 306, 0, 10, 30, 346
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 10, 99
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/[id]/view/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 2, 15, 120
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/active/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 20, 179
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/keys/[token]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 1, 18, 165
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/manage-voters/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/new/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 4, 24, 242
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 5, 39
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/past/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 2, 15, 143
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/campaign/results/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 1, 11
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/dashboard/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 8, 91
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/information/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 1, 7, 78
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 4, 8, 67
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/signup/admin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/signup/campaign/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 1, 14, 124
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/signup/voter/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
"/Users/oladmin/Desktop/CS-Y3/Voter/vote-app/src/app/voter/history/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 14, 131
